vendor,vendor_display,vendor_region,chip_series,chip_model,chip_type,usage,tier,architecture,arch_codename,generation,process_node_nm,foundry,die_size_mm2,transistors_b,package_type,vram_gb,vram_type,vram_bus_bit,vram_bw_gb_s,vram_clock_mhz,compute_units,tensor_cores,rt_cores,sm_count,shading_units,l1_cache_kb,l2_cache_mb,precision_support,precision_perf,base_clock_mhz,boost_clock_mhz,tdp_w,psu_w,power_connector,board_length_mm,board_width_mm,slot_width,bus_interface,release_date,production_status,is_released,target_market,description,_source_urls,_source_type,_source_confidence,_db_id,_is_new
NVIDIA,NVIDIA,foreign,GV10B,Jetson AGX Xavier 16 GB,GPU,both,datacenter,Volta,GV10B,Tegra(Volta),12,TSMC,350,9,,16,LPDDR4X,256,136.5,2133,512,64,0,8,512,128,0.5,FP64/FP32/FP16/BF16/INT8,FP64:0.7TFLOPS;FP32:1.4TFLOPS;FP16/BF16:2.8TFLOPS,854,1377,30,,,100,,IGP,PCIe 4.0 x4,2018-10-01,已量产,1,AI训练/推理 / HPC,"NVIDIA Jetson AGX Xavier 16 GB — Volta architecture, Tegra(Volta) generation, 16.0GB LPDDR4X",https://www.techpowerup.com/gpu-specs/jetson-agx-xavier-16-gb.c3232,community,high,,1
NVIDIA,NVIDIA,foreign,GV10B,Jetson AGX Xavier 32 GB,GPU,both,datacenter,Volta,GV10B,Tegra(Volta),12,TSMC,350,9,,32,LPDDR4X,256,136.5,2133,512,64,0,8,512,128,0.5,FP64/FP32/FP16/BF16/INT8,FP64:0.7TFLOPS;FP32:1.4TFLOPS;FP16/BF16:2.8TFLOPS,854,1377,30,,,100,,IGP,PCIe 4.0 x4,2018-10-01,已量产,1,AI训练/推理 / HPC,"NVIDIA Jetson AGX Xavier 32 GB — Volta architecture, Tegra(Volta) generation, 32.0GB LPDDR4X",https://www.techpowerup.com/gpu-specs/jetson-agx-xavier-32-gb.c4088,community,high,,1
NVIDIA,NVIDIA,foreign,GP102,P102-100,GPU,both,workstation,Pascal,GP102,Mining GPUs,16,TSMC,471,11.8,BGA-2397,5,GDDR5X,320,440.3,1376,3200,0,0,25,3200,48,2.5,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:10.8TFLOPS;FP16/BF16:0.2TFLOPS,1582,1683,250,600,2x 8-pin,267,,Dual-slot,PCIe 1.0 x4,2018-02-12,已量产,1,AI训练/推理 / HPC,"NVIDIA P102-100 — Pascal architecture, Mining GPUs generation, 5.0GB GDDR5X",https://www.techpowerup.com/gpu-specs/p102-100.c3100,community,high,,1
NVIDIA,NVIDIA,foreign,GP102,P102-101,GPU,both,workstation,Pascal,GP102,Mining GPUs,16,TSMC,471,11.8,BGA-2397,10,GDDR5,320,320.3,2002,3200,0,0,25,3200,48,2.5,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:10.7TFLOPS;FP16/BF16:0.2TFLOPS,1557,1670,250,600,2x 8-pin,267,,Dual-slot,PCIe 3.0 x4,2018-01-01,已量产,1,AI训练/推理 / HPC,"NVIDIA P102-101 — Pascal architecture, Mining GPUs generation, 10.0GB GDDR5",https://www.techpowerup.com/gpu-specs/p102-101.c3284,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,P104-101,GPU,both,workstation,Pascal,GP104,Mining GPUs,16,TSMC,314,7.2,BGA-2150,4,GDDR5,256,256.3,2002,2560,0,0,20,2560,48,2,FP64/FP32/FP16/BF16/INT8,FP64:0.3TFLOPS;FP32:8.6TFLOPS;FP16/BF16:0.1TFLOPS,1506,1683,,200,1x 8-pin,267,,Dual-slot,PCIe 1.0 x4,2018-01-05,已量产,1,AI训练/推理 / HPC,"NVIDIA P104-101 — Pascal architecture, Mining GPUs generation, 4.0GB GDDR5",https://www.techpowerup.com/gpu-specs/p104-101.c3064,community,high,,1
NVIDIA,NVIDIA,foreign,GV100,Quadro GV100,GPU,both,datacenter,Volta,GV100,Quadro Volta(Vx000),12,TSMC,815,21.1,,32,HBM2,4096,868.4,848,5120,640,0,80,5120,128,6,FP64/FP32/FP16/BF16/INT8,FP64:8.3TFLOPS;FP32:16.7TFLOPS;FP16/BF16:33.3TFLOPS,1132,1627,250,600,1x 8-pin,267,,Dual-slot,PCIe 3.0 x16,2018-03-27,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro GV100 — Volta architecture, Quadro Volta(Vx000) generation, 32.0GB HBM2",https://www.techpowerup.com/gpu-specs/quadro-gv100.c3066,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,Quadro P3200 Max-Q,GPU,both,workstation,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,6,GDDR5,192,168.3,1753,1792,0,0,14,1792,48,1.5,FP64/FP32/FP16/BF16/INT8,FP64:0.2TFLOPS;FP32:5.0TFLOPS;FP16/BF16:0.1TFLOPS,1139,1404,75,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P3200 Max-Q — Pascal architecture, Quadro Pascal-M(Px200) generation, 6.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p3200-max-q.c3315,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,Quadro P3200 Mobile,GPU,both,workstation,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,6,GDDR5,192,168.2,1752,1792,0,0,14,1792,48,1.5,FP64/FP32/FP16/BF16/INT8,FP64:0.2TFLOPS;FP32:5.5TFLOPS;FP16/BF16:0.1TFLOPS,1328,1543,75,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P3200 Mobile — Pascal architecture, Quadro Pascal-M(Px200) generation, 6.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p3200-mobile.c3147,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,Quadro P4200 Max-Q,GPU,both,workstation,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,8,GDDR5,256,224.4,1753,2304,0,0,18,2304,48,2,FP64/FP32/FP16/BF16/INT8,FP64:0.2TFLOPS;FP32:6.8TFLOPS;FP16/BF16:0.1TFLOPS,1215,1480,100,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P4200 Max-Q — Pascal architecture, Quadro Pascal-M(Px200) generation, 8.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p4200-max-q.c4004,community,high,,1
NVIDIA,NVIDIA,foreign,GP104,Quadro P4200 Mobile,GPU,both,workstation,Pascal,GP104,Quadro Pascal-M(Px200),16,TSMC,314,7.2,BGA-2150,8,GDDR5,256,224.4,1753,2304,0,0,18,2304,48,2,FP64/FP32/FP16/BF16/INT8,FP64:0.2TFLOPS;FP32:7.3TFLOPS;FP16/BF16:0.1TFLOPS,1418,1594,100,,None,,,MXM Module,MXM-B (3.0),2018-02-21,已量产,1,AI训练/推理 / HPC,"NVIDIA Quadro P4200 Mobile — Pascal architecture, Quadro Pascal-M(Px200) generation, 8.0GB GDDR5",https://www.techpowerup.com/gpu-specs/quadro-p4200-mobile.c3199,community,high,,1
